Scheme,DXCC,Reference,Name,Type,Lat,Long,Locator
FBOTA,227,B/F-6265,E6 - TOURNEFORT,WW1,43.94486,7.16313,JN33NW
FBOTA,227,B/F-6266,E5 - Le SUQUET,WW1,43.94196,7.28040,JN33PW
FBOTA,227,B/F-6267,CHIUSE de SAINT JEAN la RIVIERE,WW1,43.93374,7.26481,JN33PW
FBOTA,227,B/F-6268,CARANCA Sud (Tunnel de),WW1,43.93110,7.51671,JN33SW
FBOTA,227,B/F-6269,GIGNE Sud (Tunnel de),WW1,43.93006,7.51821,JN33SW
FBOTA,227,B/F-6270,CROIX de COUGOULE (CC),WW1,43.92691,7.49955,JN33RW
FBOTA,227,B/F-6271,CROIX de COUGOULE 1,WW1,43.92629,7.49927,JN33RW
FBOTA,227,B/F-6272,COL de BROUIS (CDB) - E01,WW1,43.92534,7.47237,JN33RW
FBOTA,227,B/F-6273,CHIUSE de BAUMA NEGRA,WW1,43.91654,7.18876,JN33OV
FBOTA,227,B/F-6274,BAISSE de LEVENS,WW1,43.91562,7.46156,JN33RV
FBOTA,227,B/F-6275,MONTE GROSSO (MG) - E02,WW1,43.91524,7.46334,JN33RV
FBOTA,227,B/F-6276,COL de L'ORME,WW1,43.90035,7.36194,JN33QV
FBOTA,227,B/F-6277,O29 - NIEYA Nord,WW1,43.89508,7.45694,JN33RV
